Startup_ID,Country,Industry,Funding_Stage,Total_Funding_MUSD,Annual_Revenue_MUSD,Burn_Rate_MUSD,Revenue_Growth_Percent,Employee_Count,Valuation_MUSD,Is_IPO,Annual_Profit_MUSD,Is_Profitable
1001,USA,SaaS,Series B,82.47980257,184.4148193,41.49005869,248.66106,1232,225.3449898,0,19.80726625,1
1002,Japan,EdTech,Series A,23.86309556,36.14924398,44.95439912,112.2410771,642,202.3989967,0,-25.32248108,0
1003,Singapore,EdTech,Seed,10.74531735,59.46272348,3.499899762,107.6309545,1714,862.4985082,0,15.95256628,1
1004,Germany,E-Commerce,Series C,97.96263085,195.1699726,15.17373208,143.0602068,1546,617.8741913,0,43.28382005,1
1005,India,E-Commerce,Series C,30.3064306,74.55300084,16.07947904,195.143902,339,989.0776047,0,10.0125634,1
1006,India,SaaS,Series A,87.21828726,5.001049326,21.77885297,226.7267974,1654,138.9963279,0,-9.71279247,0
1007,India,AI/ML,Series B,1.408588313,29.95487678,8.546311061,101.4058539,981,359.3477652,0,3.728644675,1
1008,UAE,FinTech,Seed,3.081455915,5.754570999,24.86067341,177.973978,1933,314.6573049,0,-16.24911122,0
1009,China,HealthCare,Seed,47.12125956,197.9896669,33.19439493,119.8614482,1360,880.7315765,0,30.02689314,1
1010,Singapore,FinTech,Series C,24.63275371,56.13473437,24.91845962,216.3379559,19,259.0200374,0,-1.704307421,0
1011,India,SaaS,Series B,69.29428706,184.74678,33.32307545,53.57910155,136,356.6936927,0,23.73494459,1
1012,Japan,SaaS,Seed,56.99086823,199.179312,3.415437428,80.79283519,994,147.1197063,0,50.23362161,1
1013,UAE,FinTech,Series A,8.671093948,120.1683236,43.81176785,130.6878239,678,776.5239777,0,-4.239688223,0
1014,India,HealthCare,Series B,17.10020134,7.122664856,46.95955269,267.377363,240,241.5147675,0,-32.33700493,0
1015,India,FinTech,Series B,39.41687774,16.77753026,30.93358046,174.1311079,1048,72.97867087,0,-15.61926729,0
1016,India,E-Commerce,Series C,19.37480233,96.57701649,44.08141083,289.7918551,1820,437.933189,0,-10.76427857,0
1017,USA,EdTech,Series C,79.43001238,81.53131658,6.659156231,35.46691716,496,394.5008333,1,22.24804111,1
1018,Germany,AI/ML,Seed,42.19095332,121.4323725,39.89270111,140.751747,451,181.7211583,0,2.903912056,1
1019,UK,E-Commerce,Series C,10.24975482,88.05013804,6.045494854,128.6281664,887,137.9295721,1,21.30589617,1
1020,India,EdTech,Series B,48.94994732,186.8483314,20.45971055,182.060822,1982,897.0744273,0,33.82377905,1
1021,China,AI/ML,Seed,9.992979925,107.1805732,16.25854487,244.5295596,1591,72.50526412,0,16.57861679,1
1022,India,AI/ML,Seed,13.76479324,138.8983493,29.32103208,253.2271675,283,103.8144019,0,14.23904672,1
1023,India,AI/ML,Series B,24.72137337,179.3488119,15.14557531,202.7074096,627,248.8220447,0,35.18313399,1
1024,USA,SaaS,Seed,86.09324282,29.80093923,31.90195012,194.2532275,1036,953.0749937,0,-13.03569336,0
1025,UK,AI/ML,Series A,92.5366407,46.3320635,18.43262573,284.9637149,335,89.95732827,0,4.395099731,1
1026,Canada,HealthCare,Series A,82.7995152,21.91007276,43.05344001,118.1877835,262,816.9347526,0,-22.59613082,0
1027,India,FinTech,Seed,34.07364452,28.35786065,31.73080363,250.6710777,1567,892.5918926,0,-14.1975523,0
1028,Germany,HealthCare,Series C,27.97219767,102.7605014,10.84338504,276.8435995,1088,380.9784027,0,21.77676317,1
1029,Germany,FinTech,Series A,55.36641339,64.57526216,16.87285816,150.0040771,895,297.4249278,1,7.374133934,1
1030,India,E-Commerce,Seed,72.46346289,84.92298149,42.38630229,220.0852607,457,678.9908396,0,-6.740240988,0
1031,China,E-Commerce,Series A,99.34390603,196.5067214,19.38533952,116.2208577,1330,704.1214276,0,40.93802196,1
1032,India,FinTech,Series C,14.02550048,31.76251739,26.83637337,51.86930919,1655,781.077277,0,-10.44818053,0
1033,India,HealthCare,Series B,5.879907903,108.3920081,32.4822026,178.018645,382,831.4139474,0,1.997457489,1
1034,Israel,FinTech,Seed,69.74123301,20.22479543,17.45570151,62.959137,1768,272.0534787,0,-3.441218533,0
1035,Japan,AI/ML,Seed,83.39035257,64.0400145,14.76953367,139.9917436,478,688.5267939,0,11.52229305,1
1036,UAE,SaaS,Seed,84.78852921,105.7414218,23.81521964,262.4993974,769,139.2311957,0,13.49460194,1
1037,USA,E-Commerce,Seed,68.16789136,189.3530333,10.82256051,30.37536533,1169,513.1776749,0,43.61593785,1
1038,India,SaaS,Seed,95.44756461,78.55003015,14.28210829,13.97641802,842,614.8224819,0,15.95271894,1
1039,China,AI/ML,Seed,51.58947159,13.44888589,3.197716353,183.910965,1932,165.923277,0,5.397211018,1
1040,UK,AI/ML,Series C,91.46766504,77.93820887,15.26811677,102.6630913,1958,81.12400702,0,13.21380613,1
1041,India,E-Commerce,Series B,96.81340156,29.57536459,16.10313426,128.2916235,1279,198.7725548,0,0.490618081,1
1042,UK,E-Commerce,Series C,84.86858824,46.38292785,48.095475,124.6846237,79,423.4858041,0,-20.69107461,0
1043,India,AI/ML,Series C,31.66609776,123.8090793,29.52746839,30.55296756,490,888.4017729,0,10.25203572,1
1044,Israel,EdTech,Series B,20.42534947,13.95106131,39.39038303,6.05209764,539,534.2548524,0,-24.10179536,0
1045,India,SaaS,Series C,55.26388643,93.21238937,2.364324914,270.0348566,499,749.7504273,0,25.4139461,1
